shop_id;shop_name;review_text;rating;source;review_name;review_date;latitude;longitude;Label
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;"(Ulasan ini ditulis pasca Terjemahan dari bahasa Thailand) Hallo Nakoa! Saya ฟงศ์นรวัฒนะ เทพพิทักษ์-เรืองชนะก (Phongnarawattana Thepphitak-ruengchanak), orang-orang mengenal saya dengan nama ""Lana""";;;;;;-7.9362506;112.6222933;
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Sebagai wisatawan yang beberapa kali menginjakkan kaki di Malang, saya penasaran mencoba salah satu cafe yang cukup hits di sini, Nakoa. Pagi menjelang siang, suasananya tenang dan nyaman, cocok untuk yang ingin sarapan santai sambil menikmati udara Malang yang sejuk.  Menu yang saya pesan: - Donat Bomboloni Coklat 🍫 - Risol Mayo Mentai - Donat Almond - Ice Shaken Jelly Tea Lychee 🧋  Semua menu datang dengan tampilan cantik dan menggoda, tapi juaranya menurut saya adalah Donat Bomboloni Coklat, teksturnya empuk, isi coklatnya melimpah, manisnya pas, dan meleleh di mulut. Risol mayo mentainya gurih dan creamy, sementara donat almond punya sensasi renyah dari topping almond. Ice shaken jelly tea rasa lychee segar banget, perpaduan wangi leci dan kenyalnya jelly bikin segar di tengah hari.  💡 Tips buat yang mau ke sini:  1. Datang pagi menjelang siang kalau mau suasana tenang dan sejuk. 2. Bomboloni coklat wajib coba! 3. Harga sangat terjangkau untuk ukuran cafe dengan ambience senyaman ini. 4. Cocok untuk kerja laptop-an atau sekadar ngobrol santai.  Kesimpulannya, Cafe Nakoa sukses bikin kesan pertama saya di Malang jadi manis. Rasanya bakal masuk list kunjungan ulang kalau ke Malang lagi. 🌿;5;google_places_api;Moh. Fikri Rizaldi;5 bulan lalu;-79.362.506;1.126.222.933;Kerja
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Selalu ngerasa aman tiap nugas di nakoa, walaupun super rame dari pagi sampe malem, tapi kalo kita mau ninggal tas mau solat/keluar, rasanya aman aja gitu karna yg lain udh sibuk sama laptopnya masing2😂😆 Tiap meja ada colokan, toilet bersih, wifi ok, AC super dingin, ada parkir tapi mas parkirnya pasti bantu.;5;google_places_api;Kharisma Layar;4 bulan lalu;-79.362.506;1.126.222.933;Kerja
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;tEmpaatnya cocok untuk WFH wifinya jg lancAaaR habisitu tempatnya bener bener luaas 🚹🚹🚹🤍🤍💟enak banget!! kakaknya ramaah-rAamaaahh 🩷❤️❤️‍🩹🖐🏻🖐🏻🖐🏻tp ad beberapa tempat yg kotor gt (mungkin karena self service? atau gaa  kakaknya blm sempet bersiin) 😵‍💫😵‍💫;5;google_places_api;Brilliant A.;Diedit sebulan lalu;-79.362.506;1.126.222.933;Kerja
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;self service, makanan hanya desert dan roti2 saja. cocok buat wfc;5;google_places_api;Hanna Syabrina;6 hari lalu;-79.362.506;1.126.222.933;Kerja
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Tempatnya enak, luas, suasana juga enak cocok buat nugas, tapi maaf untuk colokannya banyak yang ga bisa nyala (mau nugas jadi bingung soalnya tempat yang colokan nyala pada di tempatin :( , semoga kedepan segera diperbaiki;4;google_places_api;Rini Amaliza;3 bulan lalu;-79.362.506;1.126.222.933;Nugas
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Tempatnya enak sekali. Luas, parkir gampang dan dingin AC nya. Nyaman banget utk nongkrong or nugas. Cuma kopinya ga tau kenapa rasanya biasa aja apa karena di campur air ya? , tapi chocolate nya enak sama Lyche Sodanya ok.  Mochinya lumayan enak, tapi Susennya engga 🥲;4;google_places_api;Alex M. Sumayku;9 bulan lalu;-79.362.506;1.126.222.933;Nugas
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Tempatnya luas berAC utk dalam ruang dan ada juga luar ruang yg spotnya lebih banyak lagi. Layanan cepat. Ada minuman yang salah tidak sesuai orderan langsung diganti. Parkiran luas. Tutup pukul 24.00. harga menengah.;4;google_places_api;Simson Salouw;2 minggu lalu;-79.362.506;1.126.222.933;
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Tempat nongki nyaman enk dan luas bngt . Ngak usah binggung kalau mau cari tempat karna ruang out doornya bnyk, indoo juga nyaman;5;google_places_api;Andis Julian;4 bulan lalu;-79.362.506;1.126.222.933;Nongkrong
0x2dd6294067419899:0xab27db9d9fc2ef99;Nakoa;Tempat nongkrong yg nyaman, ada indoor & outdoor, minuman & makanannya juga enak, pelayanan cepat & ramah, harga lumayan terjangkau… 😊;5;google_places_api;Ananta Sapta;8 bulan lalu;-79.362.506;1.126.222.933;Nongkrong
